smiles	name	properties
CCC1C(C)=NN=C(c2ccc(OC)c(OC)c2)c2cc(OC)c(OC)cc21	Tofisopam	aryldiazepine
CN1C(=O)CN=C(c2ccc(F)cc2)c2cc(Cl)ccc21	4F-Diazepam	aryldiazepine
CC(C)COC(=O)c1ncn2c1C1CCCN1C(=O)c1c(Cl)cccc1-2	Ro-16-7082	aryldiazepine
CN1C(=O)CN=C(c2cccs2)c2cc(Cl)ccc21	WZ-113	aryldiazepine
CC(=O)c1ccc2c(c1)C(c1ccccc1)=NCC(=O)N2	Ro-20-3053	aryldiazepine
C#Cc1ccc2c(c1)C(=O)N(C)Cc1c(C(=O)OC(C)(C)C)ncn1-2	RY-24	aryldiazepine
CC(C)(C)OC(=O)c1ncn2c1C1CCCN1C(=O)c1c(F)cccc1-2	Ro-16-8912	aryldiazepine
O=C1CN=C(c2ccccc2F)c2cc(Cl)ccc2N1CCO	Ro-07-2750	aryldiazepine
CN1C(=O)CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc21	Ro-05-4082	aryldiazepine
Cc1nnc2n1-c1sc(Cl)cc1C(c1ccccc1)=NC2	Deschloroclotizolam	aryldiazepine
CCOC(=O)c1ncn2c1C(C)N=C(c1ccc(F)cc1)c1cc(F)ccc1-2	Ethyl 8-fluoro-6-(4-fluorophenyl)-4-methyl-4H-imidazo[1,5-a][1,4]benzodiazepine-3-carboxylate	aryldiazepine
O=C1CN=C(c2ccccc2F)c2cc(Cl)c(Cl)cc2N1	Ro-20-8065	aryldiazepine
CN1C(=O)CN=C(c2c(F)cccc2F)c2cc(Br)ccc21	Ro-13-3780	aryldiazepine
CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21	Clobazam	aryldiazepine
OCc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2	alpha-Hydroxyalprazolam	aryldiazepine
O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O	Oxazepam	aryldiazepine
CCOC(=O)c1ncn2c1CN=C(c1ccc([N+](=O)[O-])cc1)c1ccccc1-2	Ro-23-2896	aryldiazepine
CN1C(=O)CN=C(c2ccccc2F)c2cc(Br)ccc21	Flubrometazepam	aryldiazepine
CN(C)C(=O)c1nc2n(n1)-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2	Rilmazolam	aryldiazepine
CC1N=C(c2ccccc2F)c2cc(Cl)ccc2NC1=O	Ro-11-4878	aryldiazepine
CCOC(=O)c1ncn2c1C1CCCN1C(=O)c1cc(Br)ccc1-2	RY-054	aryldiazepine
CCOC(=O)c1ncn2c1C1CCN1C(=O)c1c(Cl)cccc1-2	Ro-16-0858	aryldiazepine
CN1C(=O)CN=C(c2ccc(Cl)cc2)c2cc(Cl)ccc21	Ro-05-4864	aryldiazepine
CN(C)CCc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2	U-43465F	aryldiazepine
CN1C(=O)CN=C(c2ccccc2F)c2c(Cl)cc(Cl)cc21	Ro-13-0882	aryldiazepine
CCc1ccc2c(c1)C(c1ccccc1)=NCC(=O)N2	Ro-20-2533	aryldiazepine
CCOC(=O)c1ncn2c1CC=C(c1ccccc1F)c1ccccc1-2	Ro-15-2200	aryldiazepine
O=C1CC=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1	Ro-15-8867	aryldiazepine
Cc1cc2c(cc1Cl)NC(=O)CN=C2c1ccccc1F	Ro-20-8552	aryldiazepine
N#Cc1ncn2c1CN=C(c1ccc(Cl)cc1)c1cc(Cl)ccc1-2	8-Chloro-6-(4-chlorophenyl)-4H-imidazo[1,5-a][1,4]benzodiazepine-3-carbonitrile	aryldiazepine
CC(C)c1nc(-c2ncn3c2CN(C)C(=O)c2c(Cl)cccc2-3)no1	FG-8205	aryldiazepine
Cc1nnc2n1-c1ccc([N+](=O)[O-])cc1C(c1ccccc1Cl)=NC2	Clonazolam	aryldiazepine
O=C1CN=C(c2ccccc2[N+](=O)[O-])c2cc(Br)ccc2N1	QH-II-067a	aryldiazepine
NC(=O)c1ncn2c1CC=C(c1ccccc1F)c1cc(Cl)ccc1-2	Ro-14-3930	aryldiazepine
COC(=O)CC[C@@H]1N=C(c2ccccn2)c2cc(Br)ccc2-n2c(C)cnc21	CNS-7056	aryldiazepine
CN1C(=O)CN=C(C2CCC2)c2cc(F)ccc21	5-Cyclobutyl-7-fluoro-1-methyl-1,3-dihydro-2H-1,4-benzodiazepin-2-one	aryldiazepine
O=C1CN=C(c2c(F)cccc2Cl)c2cc(Cl)ccc2N1	Ro-07-5193	aryldiazepine
CN1C(=O)CN=C(c2ccccc2F)c2cc(I)ccc21	Ro-07-9957	aryldiazepine
O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC1CC1	Prazepam	aryldiazepine
CCOC(=O)c1ncn2c1CN=C(c1cccc([N+](=O)[O-])c1)c1cc(F)ccc1-2	Ethyl 8-fluoro-6-(3-nitrophenyl)-4H-imidazo[1,5-a][1,4]benzodiazepine-3-carboxylate	aryldiazepine
Clc1ccc2c(c1)-c1ncnn1Cc1c(Cl)ncn1-2	Ro4882224	aryldiazepine
[N-]=[N+]=Nc1ccc2c(c1)C(c1ccccc1F)=NCC(=O)N2	Ro-14-3074	aryldiazepine
Fc1ccccc1C1=NCC=Cc2ccc(Cl)cc21	Ro-22-1274	aryldiazepine
Nc1ncc2c(n1)-c1ccc(Cl)cc1C(c1ccccc1F)=NC2	Ro-22-2038	aryldiazepine
Clc1ccc2c(c1)C(c1ccccc1)=NCc1nncn1-2	Estazolam	aryldiazepine
Cc1nn(C)c2c1C(c1ccccc1F)=NCC(=O)N2C	Zolazepam	aryldiazepine
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccn1)=NC2	Pyclazolam	aryldiazepine
S=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1	Thionordazepam	aryldiazepine
O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC(F)(F)F	Halazepam	aryldiazepine
C#Cc1ccc2c(c1)C(c1ccccc1)=NCC1=N/C(=C\N3CCN(C)CC3)C(=O)N12	PS-i-37	aryldiazepine
C#Cc1ccc2c(c1)C(c1ccccc1F)=NCc1c(C(=O)OCC(F)(F)F)ncn1-2	JY-i-59	aryldiazepine
O=C1CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc2N1	Fonazepam	aryldiazepine
CN1CCN(/C=C2\N=C3CN=C(c4ccccc4)c4cc(Br)ccc4N3C2=O)CC1	PS-1-35	aryldiazepine
CCCCCCC(C)(C)c1ccc([C@@H]2CCC[C@H](O)C2)c(O)c1	(1R,3S) CP 47,497	cannabinoid
CCCc1ccc(C(=O)c2cn(CCCCCF)c3ccccc23)c2ccccc12	SGT-62	cannabinoid
CC(C)[C@H](NC(=O)c1cn(Cc2ccc(F)cc2)c2ccccc12)C(N)=O	AB-FUBICA	cannabinoid
CCCCCn1nc(C(=O)N[C@@H](Cc2ccccc2)C(=O)OC)c2ccccc21	MPP-PINACA	cannabinoid
O=C(Cc1cn(Cc2ccc(F)cc2)c2ccccc12)NC1C2CC3CC(C2)CC1C3	AFUBIATA	cannabinoid
CC(C)(C)c1nc(N2CCC(F)(F)C2)c2nnn(Cc3ccccc3S(C)(=O)=O)c2n1	5-tert-Butyl-7-(3,3-difluoropyrrolidin-1-yl)-3-{[2-(methanesulfonyl)phenyl]methyl}-3H-[1,2,3]triazolo[4,5-d]pyrimidine	cannabinoid
CCC(C(N)=O)N(C)C(=O)c1nn(Cc2ccc(F)cc2)c2ccccc12	AB-FUBINACA isomer 5	cannabinoid
COc1cccc2c3c(=O)n([C@@H]4C(C)(C)[C@@H]5CC[C@@]4(C)C5)ccc3n(Cc3ccncc3)c12	WO 2001/058869 #190	cannabinoid
CCCC(F)Cn1cc(C(=O)C2C(C)(C)C2(C)C)c2ccccc21	(2-Fluoropentyl) XLR-11	cannabinoid
O=C(Nc1ccccc1)c1cn(CCCCCF)c2ccccc12	LTI-701	cannabinoid
C=CCCCn1nc(C(=O)N[C@H](C(=O)OC)C(C)C)c2ccccc21	MMB-4en-PINACA	cannabinoid
O=C(Nc1ccccc1)c1nn(CC2CCOCC2)c2ccccc12	SGT-224	cannabinoid
Cc1ccc(C(=O)NC(C)(C)c2ccccc2)cc1S(=O)(=O)N1CCC(F)(F)CC1	SGT-233	cannabinoid
CCCCCn1nc(C(=O)c2ccc(OC)c3ccccc23)c2ccccc21	SGT-35	cannabinoid
CC1(C)C(C(=O)c2cn(CC3CCCCC3)c3ccccc23)C1(C)C	(CHM) UR-144	cannabinoid
CN1CCCCC1Cn1cc(C(=O)c2ccc(N=C=S)c3ccccc23)c2ccc(N=C=S)cc21	AM-2215	cannabinoid
CCCCCCC1(c2ccc(-c3cc(C)cc(C)c3)c(O)c2)CC1	4-(1-Hexylcyclopropyl)-3',5'-dimethyl[1,1'-biphenyl]-2-ol	cannabinoid
COC(=O)[C@@H](NC(=O)c1cn(Cc2ccc(F)cc2)c2ncccc12)C(C)(C)C	MDMB-FUB7AICA	cannabinoid
CN1CCCCC1Cn1cc(C(=O)c2ccccc2I)c2ccccc21	AM-2233	cannabinoid
O=C(c1cccc2ccccc12)n1c(-c2ccncc2)nc2ccccc21	(Naphthalen-1-yl)[2-(pyridin-4-yl)-1H-benzimidazol-1-yl]methanone	cannabinoid
C=CCCCn1nc(C(=O)N[C@H](C(=O)OC)C(C)(C)C)c2ccccc21	MDMB-4en-PINACA	cannabinoid
Oc1ccc(/C=C2\C=C(CCN3CCOCC3)c3ccccc32)c2ccccc12	US 5292736 #19	cannabinoid
CCc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(C#Cc2ccc(C(F)(F)F)cc2)s1	TM-38837	cannabinoid
COC(=O)[C@H](Cc1ccccc1)NC(=O)c1cn(CCCCCF)c2ccccc12	MPHP-2201	cannabinoid
Cc1ccc2c(C(C[N+](=O)[O-])c3ccccc3)c(-c3ccccc3)[nH]c2c1	GAT211	cannabinoid
CCCCCn1nc(C(=O)NC2CCCCC2)c2ccccc21	SGT-85	cannabinoid
CN1CCCCC1Cn1cc(C(=O)c2ccc([N+](=O)[O-])c3ccccc23)c2ccccc21	AM-1299	cannabinoid
CCc1c(C)cc(C(=O)NC2(C(=O)O)CCCCC2)c(=O)n1Cc1ccc(F)cc1	S-777469	cannabinoid
CCCCCC(C)NC(=O)c1nn(CCCCC)c2ccccc12	SGT-71	cannabinoid
CC1(C)Oc2cc(C34CC5CC(CC(C5)C3)C4)cc(O)c2[C@@H]2CC(O)CC[C@H]21	(6aR,10aR)-3-(Adamantan-1-yl)-6,6-dimethyl-6a,7,8,9,10,10a-hexahydro-6H-dibenzo[b,d]pyran-1,9-diol	cannabinoid
C=C(C)[C@H]1CCC(CO)=C[C@@H]1c1c(O)cc(C(C)(C)CCCCN2CCOCC2)cc1O	(1'S,2'S)-5'-(Hydroxymethyl)-4-[2-methyl-6-(morpholin-4-yl)hexan-2-yl]-2'-(prop-1-en-2-yl)-1',2',3',4'-tetrahydro[1,1'-biphenyl]-2,6-diol	cannabinoid
O=C(N/N=C1\C(=O)N(CCCCCF)c2ccccc21)c1ccccc1	BZO-5F-POXIZID	cannabinoid
CCCCCOc1c(OC)ccc2cc(C(=O)NCc3ccc4c(c3)OCO4)c(=O)[nH]c12	JTE-907	cannabinoid
CCCCn1nc(C(=O)N[C@@H](Cc2ccccc2)C(=O)OC)c2ccccc21	MPP(N)-073	cannabinoid
CCCCCCC(C)(C)c1ccc([C@@H]2CCC[C@@H](O)C2)c(O)c1	(R,R)-epi-CP 47,497	cannabinoid
CCCCCOc1ccc(C(=O)c2cccc3ccccc23)c2ccccc12	CB-13	cannabinoid
COc1ccccc1OC(=O)c1ccc(C)c(S(=O)(=O)N2CCOCC2)c1	2-Methoxyphenyl 4-methyl-3-(morpholine-4-sulfonyl)benzoate	cannabinoid
CCCCCC#Cc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CC=C(C)C[C@@H]21	AMG-1	cannabinoid
CC(C)[C@H](NC(=O)c1cn(CCCCCF)c2ccccc12)C(N)=O	5F-ABICA	cannabinoid
CCCCCn1cc(C(=O)NC23CC4CC(CC(C4)C2)C3)c(=O)c2ccc(F)cc21	N-(Adamantan-1-yl)-7-fluoro-4-oxo-1-pentyl-1,4-dihydroquinoline-3-carboxamide	cannabinoid
CC1=CC[C@@H]2[C@@H](C1)c1c(O)cc(C(C)(C)CCCCCC#N)cc1OC2(C)C	O-774	cannabinoid
CC(C)(C)[C@H](NC(=O)n1c(=O)n(CCN2CCOCC2)c2ccccc21)C(N)=O	WO 2008/032164 #4	cannabinoid
COC(=O)[C@H](Cc1ccccc1)NC(=O)c1cn(CC2CCCCC2)c2ccccc12	MPP-CHMICA	cannabinoid
Fc1ccc2nc(-c3ccccn3)n(Cc3cccc4ccccc34)c2c1	6-Fluoro-1-[(naphthalen-1-yl)methyl]-2-(pyridin-2-yl)-1H-benzimidazole	cannabinoid
CCCCCn1cc(C(=O)N[C@@H](C)c2ccccc2)c2ccccc21	1-Pentyl-N-[(1S)-1-phenylethyl]-1H-indole-3-carboxamide	cannabinoid
CCCCCCCC(C)c1cc(OC(=O)CCCN(CC)CC)c2c(c1)OC(C)(C)C1=C2CC(C)CC1	SP-325	cannabinoid
CCCCCn1cc(C(=O)c2cccc3ccccc23)cc1-c1cccc(C)c1	JWH-346	cannabinoid
O=C(Cc1ccccc1)N/N=C1\C(=O)N(CC2CCCCC2)c2cc(OCCN3CCOCC3)ccc21	N'-{1-(Cyclohexylmethyl)-6-[2-(morpholin-4-yl)ethoxy]-2-oxo-1,2-dihydro-3H-indol-3-ylidene}-2-phenylacetohydrazide	cannabinoid
Cc1c(C(=O)C2C(C)(C)C2(C)C)c2ccccc2n1CCCCCF	2-Me-XLR-11	cannabinoid
COc1ccc2c(c1)CCC2CNC(=O)c1cn(CCCCCF)c2ccccc12	SGT-105	cannabinoid
CCCCCc1cc(O)c2c(c1)OC(C)(C)C(CCC(C)=O)C2=O	CBCN	cannabinoid
CCCCCn1nc(C(=O)NC(C)(C)c2ccc(F)cc2)c2ccccc21	SGT-60	cannabinoid
CC(C)(C)[C@H](NC(=O)c1nn(CC2CCCCCC2)c2ccccc12)C(=O)NCCO	WO 2009/106980 #433	cannabinoid
CC(C)(NC(=O)c1cn(Cc2ccc(F)cc2)c2ccccc12)c1ccccc1	CUMYL-FUBICA	cannabinoid
COC(=O)[C@@H](NC(=O)c1nn(CC2CCCCC2)c2ccccc12)C(C)(C)C	MDMB(N)-CHM	cannabinoid
CCCCCn1nc(C(=O)c2cccc3ccccc23)c2ccccc21	SGT-17	cannabinoid
CCCCCn1cc(C(=O)N[C@H](C(N)=O)C(C)(C)C)c2ccccc21	ADBICA	cannabinoid
CN1CCCCC1Cn1cc(C(=O)c2cc(N=C=S)ccc2I)c2ccc(N=C=S)cc21	AM-2223	cannabinoid
CCCCCCCCCn1cc(C(=O)c2cccc3ccccc23)c2ccccc21	(Nonyl) JWH-018	cannabinoid
CCCCCCC(C)(C)c1cc(OC)c([C@@H]2C=C(CO)C3CC2C3(C)C)c(OC)c1	HU-433	cannabinoid
C=CCc1cc(OC)c(OC)c(OC)c1OC	2,3,4,5-Tetramethoxyphenylprop-2-ene	essential oil
C/C=C\c1ccc(O)c(OC)c1	cis-4-Hydroxy-3-methoxyphenylprop-1-ene	essential oil
C/C=C/c1ccc2c(c1OC)OCO2	Isocroweacin	essential oil
C/C=C\c1cc(OC)c(O)c(OC)c1	cis-4-Hydroxy-3,5-dimethoxyphenylprop-1-ene	essential oil
C=CCc1ccc2c(c1OC)OCO2	Croweacin	essential oil
C/C=C\c1cc2c(cc1OC)OCO2	cis-2-Methoxy-4,5-methylenedioxyphenylprop-1-ene	essential oil
C=CCc1ccc2c(c1)OCO2	Safrole	essential oil
C/C=C\c1cc(OC)c2c(c1)OCO2	cis-Isomyristicin	essential oil
C/C=C\c1ccc(OC)cc1OC	cis-2,4-Dimethoxyphenylprop-1-ene	essential oil
C/C=C\c1ccc2c(c1OC)OCO2	cis-2-Methoxy-3,4-methylenedioxyphenylprop-1-ene	essential oil
C/C=C/c1ccc(OC)c(OC)c1	Methylisoeugenol	essential oil
C=CCc1ccc(OC)cc1OC	Osmorrhizole	essential oil
C=CCc1ccc(OC)c(OC)c1	Methyleugenol	essential oil
C=CCc1ccc(O)c(OC)c1	Eugenol	essential oil
C=CCc1cc2c(c(OC)c1OC)OCO2	Dillapiole	essential oil
C/C=C\c1ccc2c(c1)OCO2	alpha-Isosafrole	essential oil
C/C=C/c1cc(OC)c(OC)c(OC)c1	Isoelemicin	essential oil
C=CCc1ccc(OC)c(O)c1	Chavibetol	essential oil
C=CCc1cc(OC)c(OC)c(OC)c1	Elemicin	essential oil
C=CCc1cc(OC)cc(OC)c1	3,5-Dimethoxyphenylprop-2-ene	essential oil
C/C=C\c1cc(OC)c(OC)c(OC)c1	cis-Isoelemicin	essential oil
C/C=C/c1cc(OC)c(OC)c(OC)c1OC	trans-2,3,4,5-Tetramethoxyphenylprop-1-ene	essential oil
C/C=C/c1cc(OC)c2c(c1OC)OCO2	Isoapiole	essential oil
C/C=C\c1ccc(OC)c(O)c1	cis-3-Hydroxy-4-methoxyphenylprop-1-ene	essential oil
C=CCc1ccc(OC)cc1	Estragole	essential oil
C/C=C\c1cc(OC)c2c(c1OC)OCO2	cis-2,5-Dimethoxy-3,4-methylenedioxyphenylprop-1-ene	essential oil
C=CCc1cc(OC)c2c(c1OC)OCO2	Apiole	essential oil
C/C=C/c1ccc(OC)cc1OC	Nothosmyrnol	essential oil
C/C=C/c1cc(OC)cc(OC)c1	trans-3,5-Dimethoxyphenylprop-1-ene	essential oil
C/C=C\c1cc2c(c(OC)c1OC)OCO2	cis-2,3-Dimethoxy-4,5-methylenedioxyphenylprop-1-ene	essential oil
C/C=C\c1ccc(OC)cc1	cis-4-Methoxyphenylprop-1-ene	essential oil
C/C=C/c1cc(OC)c(O)c(OC)c1	2,6-Dimethoxy-4-[(1E)-prop-1-en-1-yl]phenol	essential oil
C=CCc1cc(OC)c(OC)cc1OC	γ-Asarone	essential oil
C/C=C/c1ccc(OC)cc1	Anethole	essential oil
C=CCc1cc2c(cc1OC)OCO2	Asaricin	essential oil
C/C=C/c1cc2c(c(OC)c1OC)OCO2	Isodillapiole	essential oil
C/C=C/c1cc(OC)c(OC)cc1OC	Asarone	essential oil
C/C=C/c1ccc(O)c(OC)c1	Isoeugenol	essential oil
C/C=C\c1cc(OC)cc(OC)c1	cis-3,5-Dimethoxyphenylprop-1-ene	essential oil
C/C=C\c1cc(OC)c(OC)cc1OC	beta-Asarone	essential oil
C=CCc1cc(OC)c2c(c1)OCO2	Myristicin	essential oil
C/C=C/c1ccc(OC)c(O)c1	2-Methoxy-5-[(1E)-prop-1-en-1-yl]phenol	essential oil
C/C=C/c1cc(OC)c2c(c1)OCO2	Isomyristicin	essential oil
C/C=C\c1ccc(OC)c(OC)c1	cis-3,4-Dimethoxyphenylprop-1-ene	essential oil
C=CCc1cc(OC)c(O)c(OC)c1	5-Methoxyeugenol	essential oil
C/C=C/c1ccc2c(c1)OCO2	beta-Isosafrole	essential oil
C/C=C\c1cc(OC)c(OC)c(OC)c1OC	cis-2,3,4,5-Tetramethoxyphenylprop-1-ene	essential oil
C/C=C/c1cc2c(cc1OC)OCO2	Carpacin	essential oil
CCC(=O)N(c1ccccc1)C1(COC)CCN(CC(O)c2cccs2)CC1	beta-Hydroxy-sufentanil	fentanyl
CCC(=O)N(CCc1ccccc1)C1CCN(CCc2ccccc2)CC1	(ethylene) Fentanyl	fentanyl
CCC(=O)N(c1ccccc1F)C1(c2ccccc2)CCN(CCn2cccn2)CC1	N-(2-Fluorophenyl)-N-{4-phenyl-1-[2-(1H-pyrazol-1-yl)ethyl]piperidin-4-yl}propanamide	fentanyl
CCC(=O)N(c1ccccc1)C1CCN(C(C)Cc2cc(OC)c(I)cc2OC)CC1	N-(DOI) fentanyl	fentanyl
