smiles	properties
C/C=C/c1ccc(cc1)OC	essential oil
Oc1ccc2c(c1)c(CCN(=O)(C)C)c[nH]2	tryptamine
COc1ccc2c(c1)c(c[nH]2)CCN(=O)(C)C	tryptamine
C=CCc1ccc(cc1OC)OC	essential oil
C/C=C\c1ccc(cc1OC)OC	essential oil
C/C=C/c1ccc(cc1OC)OC	essential oil
C=CCc1ccc(c(c1)OC)OC	essential oil
C/C=C\c1ccc(c(c1)OC)OC	essential oil
C/C=C/c1ccc(c(c1)OC)OC	essential oil
COc1cc(CC=C)cc(c1)OC	essential oil
C/C=C\c1cc(OC)cc(c1)OC	essential oil
C/C=C/c1cc(OC)cc(c1)OC	essential oil
C=CCc1ccc2c(c1)OCO2	essential oil
C/C=C\c1ccc2c(c1)OCO2	essential oil
C/C=C/c1ccc2c(c1)OCO2	essential oil
C=CCc1cc(OC)c(c(c1)OC)OC	essential oil
C/C=C\c1cc(OC)c(c(c1)OC)OC	essential oil
C/C=C/c1cc(OC)c(c(c1)OC)OC	essential oil
C=CCc1cc(OC)c2c(c1)OCO2	essential oil
C/C=C\c1cc(OC)c2c(c1)OCO2	essential oil
C/C=C/c1cc(OC)c2c(c1)OCO2	essential oil
C=CCc1cc(OC)c(cc1OC)OC	essential oil
C/C=C\c1cc(OC)c(cc1OC)OC	essential oil
C/C=C/c1cc(OC)c(cc1OC)OC	essential oil
C=CCc1ccc2c(c1OC)OCO2	essential oil
C/C=C\c1ccc2c(c1OC)OCO2	essential oil
C/C=C/c1ccc2c(c1OC)OCO2	essential oil
C=CCc1cc(OC)c(c(c1OC)OC)OC	essential oil
C/C=C\c1cc(OC)c(c(c1OC)OC)OC	essential oil
C/C=C/c1cc(OC)c(c(c1OC)OC)OC	essential oil
C=CCc1cc(OC)c2c(c1OC)OCO2	essential oil
C/C=C\c1cc(OC)c2c(c1OC)OCO2	essential oil
C/C=C/c1cc(OC)c2c(c1OC)OCO2	essential oil
C=CCc1cc2OCOc2c(c1OC)OC	essential oil
C/C=C\c1cc2OCOc2c(c1OC)OC	essential oil
C/C=C/c1cc2OCOc2c(c1OC)OC	essential oil
CCCCC(=O)N(c1ccccc1)C1CCN(CC1)CCc1ccccc1	fentanyl
CCC(=O)N(c1cccc(c1)F)C1CCN(CC1)CCc1ccccc1	fentanyl
C=CCc1cc2OCOc2cc1OC	essential oil
C/C=C\c1cc2OCOc2cc1OC	essential oil
C/C=C/c1cc2OCOc2cc1OC	essential oil
CCC(=O)N(c1ccccc1F)C1CCN(CC1)CCc1ccccc1	fentanyl
C=CCc1ccc(c(c1)OC)O	essential oil
C/C=C\c1ccc(c(c1)OC)O	essential oil
C/C=C/c1ccc(c(c1)OC)O	essential oil
COc1cc(CC=C)cc(c1O)OC	essential oil
C/C=C\c1cc(OC)c(c(c1)OC)O	essential oil
C/C=C/c1cc(OC)c(c(c1)OC)O	essential oil
C=CCc1ccc(c(c1)O)OC	essential oil
C/C=C\c1ccc(c(c1)O)OC	essential oil
C/C=C/c1ccc(c(c1)O)OC	essential oil
COc1cccc(c1)CNCCc1c[nH]c2c1cc(OC)cc2	tryptamine
COc1ccc2c(c1)c(CCNCc1ccccc1Br)c[nH]2	tryptamine
COc1ccc2c(c1)c(CCNCc1cccc(c1)Br)c[nH]2	tryptamine
COc1ccc2c(c1)c(CCNCc1cccc(c1)F)c[nH]2	tryptamine
COc1ccc2c(c1)c(CCNCc1cccc(c1)Cl)c[nH]2	tryptamine
COc1ccc2c(c1)c(CCNCc1cccc(c1)I)c[nH]2	tryptamine
COc1ccc2c(c1)c(CCNCc1cccc(c1)C)c[nH]2	tryptamine
COc1ccc2c(c1)c(CCNCc1cccc(c1)C(F)(F)F)c[nH]2	tryptamine
COc1ccc2c(c1)c(CCNCc1cccc(c1)SC)c[nH]2	tryptamine
Brc1ccc(c(c1)CNCCc1c[nH]c2c1cccc2)O	tryptamine
Brc1cc(CNCCc2c[nH]c3c2cccc3)c(c(c1)Br)O	tryptamine
COc1c(CNCCc2c[nH]c3c2cccc3)cc(cc1Br)Br	tryptamine
Fc1cccc(c1)C1(N)CCCCCC1	arylcycloalkylamine
Fc1cccc(c1)C1(CCCCCC1)N1CCCCC1	arylcycloalkylamine
Fc1cccc(c1)C1(CCCCCC1)N1CCCC1	arylcycloalkylamine
NC1(CCCCCC1)c1ccc(cc1)F	arylcycloalkylamine
Fc1ccc(cc1)C1(CCCCCC1)N1CCCCC1	arylcycloalkylamine
Fc1ccc(cc1)C1(CCCCCC1)N1CCCC1	arylcycloalkylamine
NC1(CC2CC1CC2)c1ccccc1	arylcycloalkylamine
C1CCN(CC1)C1(CC2CC1CC2)c1ccccc1	arylcycloalkylamine
c1ccc(cc1)C1(CC2CC1CC2)N1CCCC1	arylcycloalkylamine
Fc1ccccc1C1(N)CC2CC1CC2	arylcycloalkylamine
Fc1cccc(c1)C1(N)CC2CC1CC2	arylcycloalkylamine
Fc1ccc(cc1)C1(N)CC2CC1CC2	arylcycloalkylamine
NC1(CC2CC1CC2)c1ccc(cc1)C(F)(F)F	arylcycloalkylamine
Fc1ccccc1C1(CC2CC1CC2)N1CCCCC1	arylcycloalkylamine
Fc1ccccc1C1(CC2CC1CC2)N1CCCC1	arylcycloalkylamine
Fc1cccc(c1)C1(CC2CC1CC2)N1CCCCC1	arylcycloalkylamine
Fc1cccc(c1)C1(CC2CC1CC2)N1CCCC1	arylcycloalkylamine
Fc1ccc(cc1)C1(CC2CC1CC2)N1CCCCC1	arylcycloalkylamine
Fc1ccc(cc1)C1(CC2CC1CC2)N1CCCC1	arylcycloalkylamine
FC(c1ccc(cc1)C1(CC2CC1CC2)N1CCCCC1)(F)F	arylcycloalkylamine
FC(c1ccc(cc1)C1(CC2CC1CC2)N1CCCC1)(F)F	arylcycloalkylamine
COc1ccc(cc1)C(=O)c1c(C)n(c2c1cccc2)CCN1CCOCC1	cannabinoid
C1CCN(CC1)C1(CCCCC1)c1cscc1	arylcycloalkylamine
CCCCCn1cc(c2c1cccc2)C(=O)c1cccc2c1cccc2	cannabinoid
CCC(=O)N(C1CCN(C(C1)C)CCc1ccccc1)c1ccccc1	fentanyl
CCC(=O)N(C1(C)CCN(CC1)CCc1ccccc1)c1ccccc1	fentanyl
CCC(=O)N(C1CCN(CC1CC)CCc1ccccc1)c1ccccc1	fentanyl
CCC(=O)N(C1CCN(CC1OC)CCc1ccccc1)c1ccccc1	fentanyl
CCC(=O)N(C1CCN(CC1(C)C)CCc1ccccc1)c1ccccc1	fentanyl
CCC(=O)N(C1C(C)CN(CC1C)CCc1ccccc1)c1ccccc1	fentanyl
COCC(=O)N(C1C(C)CN(CC1C)CCn1cccn1)c1ccccc1	fentanyl
CCC(=O)N(c1ccc(cc1)Br)C1CCN(CC1)CCc1ccccc1	fentanyl
CCC(=O)N(c1ccc(cc1)C(F)(F)F)C1CCN(CC1)CCc1ccccc1	fentanyl
CCC(=O)N(c1ccc(cc1)F)C1CCN(CC1)CCc1cccs1	fentanyl
CCC(=O)N(c1ccccc1)C1CCN(CC1)CCc1ccc(cc1)F	fentanyl
CCC(=O)N(c1ccccc1)C1CCN(CC1)CCc1ccc(cc1)N(=O)=O	fentanyl
Cc1ccc(cc1)CCN1CCC(CC1)N(c1ccccc1)C(=O)C	fentanyl
CCC(=O)N(c1ccccc1)C1CCN(CC1)CCc1ccc(cc1)C	fentanyl
CCC(=O)N(c1ccc(c(c1)Cl)Cl)C1CCN(CC1)CCc1cccc(c1)F	fentanyl
COC(=O)C1(CCN(CC1)CCn1cccc1)N(c1ccccc1)C(=O)CC	fentanyl
COC(=O)C1(CCN(CC1)CCn1cccn1)N(c1ccccc1)C(=O)CC	fentanyl
COC(=O)C1(CCN(CC1)CCSc1nccn1C)N(c1ccccc1)C(=O)CC	fentanyl
COC(=O)C1(CCN(CC1)CCn1nncn1)N(c1ccccc1)C(=O)CC	fentanyl
CCC(=O)N(C1(CCN(CC1)CC(=O)c1cccs1)C(=O)OC)c1ccccc1	fentanyl
COC(=O)C1(CCN(CC1)CC(c1cccs1)O)N(c1ccccc1)C(=O)CC	fentanyl
COC(=O)C1(CCN(CC1)CCc1cscc1)N(c1ccccc1)C(=O)CC	fentanyl
COCC1(CCN(CC1)CC(c1ccco1)O)N(c1ccccc1)C(=O)CC	fentanyl
COC(=O)C1(CCN(CC1)CCc1scnc1C)N(c1ccccc1)C(=O)CC	fentanyl
CCC(=O)N(C1(CCN(CC1)CCc1ccccn1)C(=O)OC)c1ccccc1	fentanyl
COC(=O)C1(CCN(CC1)CCn1c(SC)ncc(c1=O)C)N(c1ccccc1)C(=O)CC	fentanyl
CCC(=O)N(C1(CCN(CC1)CCN1C(=O)Cc2c1cccc2)C(=O)OC)c1ccccc1	fentanyl
CCC(=O)N(C1(CCN(CC1)CCn1c(=O)oc2c1cccc2)C(=O)OC)c1ccccc1	fentanyl
CCC(=O)N(C1(CCN(CC1)CC1COc2c(O1)cccc2)C(=O)OC)c1ccccc1	fentanyl
CCC(=O)N(C1(CCN(CC1)CCN1C(=O)CSc2c1cccc2)C(=O)OC)c1ccccc1	fentanyl
CCC(=O)N(c1ccccc1C)C1CCN(CC1)CCc1ccccc1	fentanyl
CCC(=O)N(c1cccc(c1)C)C1CCN(CC1)CCc1ccccc1	fentanyl
CCC(=O)N(c1ccc(cc1)I)C1CCN(CC1)CCc1ccccc1	fentanyl
C/C=C/C(=O)N(c1ccccc1)C1CCN(CC1)CCc1ccccc1	fentanyl
C/C=C/C(=O)N(c1ccc(cc1)F)C1CCN(CC1)CCc1ccccc1	fentanyl
O=C(N(c1ccccc1)C1CCN(CC1)CCc1ccccc1)c1ccoc1	fentanyl
CCCC(=O)N(c1ccccc1F)C1CCN(CC1)CCc1ccccc1	fentanyl
Cc1ccc(cc1)N(C(=O)c1ccco1)C1CCN(CC1)CCc1ccccc1	fentanyl
Fc1ccc(cc1)N(C(=O)C1CC1)C1CCN(CC1)CCc1ccccc1	fentanyl
Fc1ccc(cc1)N(C(=O)c1ccoc1)C1CCN(CC1)CCc1ccccc1	fentanyl
Fc1ccc(cc1)N(C(=O)C1CCCO1)C1CCN(CC1)CCc1ccccc1	fentanyl
Cc1ccccc1N(C(=O)c1ccco1)C1CCN(CC1)CCc1ccccc1	fentanyl
O=C(N(c1ccccc1)C1CCN(CC1)CCc1ccccc1)c1cccs1	fentanyl
CCOC(=O)N(c1ccccc1)C1CCN(CC1)CCc1ccccc1	fentanyl
O=C(N(c1ccccc1)C1CCN(CC1)CCc1ccccc1)Cc1ccccc1	fentanyl
COC(C(=O)N(c1ccccc1)C1CCN(CC1)CCc1ccccc1)C	fentanyl
Cc1cccc(c1)N(C(=O)c1ccco1)C1CCN(CC1)CCc1ccccc1	fentanyl
COc1ccccc1N(C(=O)c1ccco1)C1CCN(CC1)CCc1ccccc1	fentanyl
COC(=O)C1(CCN(CC1)CCc1ccccc1)N(c1ccccc1)C(=O)C	fentanyl
Cc1ccccc1N(C(=O)C1CC1)C1CCN(CC1)CCc1ccccc1	fentanyl
Cc1ccccc1N(C1CCN(CC1)CCc1ccccc1)C(=O)C	fentanyl
CCOCC(=O)N(c1ccccc1)C1CCN(CC1)CCc1ccccc1	fentanyl
O=C(N(c1ccccc1C)C1CCN(CC1)CCc1ccccc1)c1ccccc1	fentanyl
Clc1ccc(cc1)N(C(=O)C1CC1)C1CCN(CC1)CCc1ccccc1	fentanyl
Fc1ccc(cc1)N(C(=O)C1CCCC1)C1CCN(CC1)CCc1ccccc1	fentanyl
Cc1ccc(cc1)N(C(=O)C1CC1)C1CCN(CC1)CCc1ccccc1	fentanyl
COCC(=O)N(c1ccc(cc1)Cl)C1CCN(CC1)CCc1ccccc1	fentanyl
Clc1ccc(cc1)N(C(=O)C1CCCC1)C1CCN(CC1)CCc1ccccc1	fentanyl
COCC(=O)N(c1ccc(cc1)OC)C1CCN(CC1)CCc1ccccc1	fentanyl
Cc1ccc(cc1)N(C1CCN(CC1)CCc1ccccc1)C(=O)C	fentanyl
CCCC(=O)N(c1cccc(c1)F)C1CCN(CC1)CCc1ccccc1	fentanyl
CCCCC(=O)N(c1ccc(cc1)OC)C1CCN(CC1)CCc1ccccc1	fentanyl
COc1ccc(cc1)N(C(=O)C1CCCO1)C1CCN(CC1)CCc1ccccc1	fentanyl
COCC(=O)N(c1ccc(cc1)C)C1CCN(CC1)CCc1ccccc1	fentanyl
Fc1cccc(c1)N(C(=O)C(C)C)C1CCN(CC1)CCc1ccccc1	fentanyl
COc1ccc(cc1)N(C(=O)c1ccco1)C1CCN(CC1)CCc1ccccc1	fentanyl
CCC(=O)N(c1ccc2c(c1)ocn2)C1CCN(CC1)CCc1ccccc1	fentanyl
COCC(=O)N(c1cccc(c1)C)C1CCN(CC1)CCc1ccccc1	fentanyl
Clc1ccc(cc1)N(C(=O)C1CCC1)C1CCN(CC1)CCc1ccccc1	fentanyl
Cc1ccc(cc1)N(C(=O)C1CCCO1)C1CCN(CC1)CCc1ccccc1	fentanyl
COCC(=O)N(c1cccc(c1)F)C1CCN(CC1)CCc1ccccc1	fentanyl
O=C(C(C)(C)C)N(c1ccccc1)C1CCN(CC1)CCc1ccccc1	fentanyl
CC(=C)C(=O)N(c1ccccc1)C1CCN(CC1)CCc1ccccc1	fentanyl
CCC(C(=O)N(c1ccccc1)C1CCN(CC1)CCc1ccccc1)C	fentanyl
CC(CC(=O)N(c1ccccc1)C1CCN(CC1)CCc1ccccc1)C	fentanyl
CCC(=O)N(c1ccccc1)C(CCN(CCc1ccccc1)C)C	fentanyl
CCC(=O)N(c1ccccc1)C1CCN(CC1)CCc1ccc(cc1)OC	fentanyl
CCC(=O)N(c1ccc(cc1)OC)C1CCN(CC1)CCc1ccccc1	fentanyl
CC(N1CCC(CC1)N(C(=O)C(C)C)c1ccccc1)Cc1ccccc1	fentanyl
CN1CCC(CC1)N(c1ccccc1)C(=O)C	fentanyl
CCC(=O)N(c1ccccc1)C1CCN(CC1)C	fentanyl
CCCC(=O)N(c1ccccc1)C1CCN(CC1)C	fentanyl
CC(=O)N(c1ccccc1)C1CCN(CC1)Cc1ccccc1	fentanyl
CCCC(=O)N(c1ccccc1)C1CCN(CC1)Cc1ccccc1	fentanyl
CCC(=O)N(C1CCN(C(C1)F)CCc1ccccc1)c1ccccc1	fentanyl
CCC(=O)N(C1CCN(CC1F)CCc1ccccc1)c1ccccc1	fentanyl
CCC(=O)N(C1(F)CCN(CC1)CCc1ccccc1)c1ccccc1	fentanyl
COCC(=O)N(C1(CCN(CC1)CCc1cccs1)C(=O)OC)c1ccccc1	fentanyl
CCC(=O)N(C1CCN(CC1C)Cc1ccccc1)c1ccccc1	fentanyl
O=C(C(c1ccc(cc1)F)C1CCN(CC1)Cc1ccccc1)C(C)C	fentanyl
CCC(=O)N(c1cccc2c1nccc2)C1CCN(CC1)CCc1ccccc1	fentanyl
CCC(=O)N(C12CC3CC(C2)CC(C1)C3)C1CCN(CC1)CCc1ccccc1	fentanyl
CCC(=O)N(c1ccccc1)C1CCN(CC1)CCc1ccc2c(c1)cco2	fentanyl
O=C(N(C1CCN(CC1C)CCc1ccccc1)c1ccccc1)c1ccco1	fentanyl
CC1CN(CCc2ccccc2)CC(C1N(C(=O)C1CCCC1)c1ccccc1)C	fentanyl
CCCC(=O)N(C1(CCN(CC1)CCc1ccccc1)C(=O)OC)c1ccccc1	fentanyl
CCOC(=O)C1(CCN(CC1)CCC(=O)OCC)N(c1ccccc1)C(=O)CC	fentanyl
CCOC(=O)CCN1CCC(CC1)(C(=O)OC)N(c1ccc(cc1)F)C(=O)CC	fentanyl
CCCC(=O)N(C1(CCN(CC1)CCC(=O)OC)C(=O)OC)c1ccccc1	fentanyl
COC(=O)C1(CCN(CC1)CCC(=O)OC)N(C(=O)c1ccco1)c1ccc(cc1)F	fentanyl
CCC(=O)N(C1CCN(CC1C)C(Cc1ccccc1)C)c1ccccc1	fentanyl
CCC(=O)N(C1(CCN(CC1)CCc1ccccc1)c1cccc(c1)O)c1ccccc1	fentanyl
CCC(=O)N(C1CCN(CC1SC)CCc1ccccc1)c1ccccc1	fentanyl
CCC(=O)N(C1(CCN(CC1)CCc1c[nH]c2c1cccc2)C(=O)OC1CN2CCC1CC2)c1ccccc1	fentanyl
c1ccc(cc1)CCN1CCC(CC1)Nc1ccccc1	fentanyl
CCNC1(CCCCC1)c1ccc2c(c1)OCO2	arylcycloalkylamine
CCCNC1(CCCCC1)c1ccc2c(c1)OCO2	arylcycloalkylamine
NC1(CC2CC1CC2)c1cccs1	arylcycloalkylamine
COc1cccc(c1)C1(N)CC2CC1CC2	arylcycloalkylamine
COc1ccc(cc1)C1(N)CC2CC1CC2	arylcycloalkylamine
Cc1cccc(c1)C1(N)CC2CC1CC2	arylcycloalkylamine
NC1(CC2CC1CC2)c1ccc2c(c1)OCO2	arylcycloalkylamine
C1CCN(CC1)C1(CC2CC1CC2)c1cccs1	arylcycloalkylamine
COc1cccc(c1)C1(CC2CC1CC2)N1CCCCC1	arylcycloalkylamine
COc1ccc(cc1)C1(CC2CC1CC2)N1CCCCC1	arylcycloalkylamine
Cc1cccc(c1)C1(CC2CC1CC2)N1CCCCC1	arylcycloalkylamine
C1CCN(CC1)C1(CC2CC1CC2)c1ccc2c(c1)OCO2	arylcycloalkylamine
COc1cccc(c1)C1(CC2CC1CC2)N1CCCC1	arylcycloalkylamine
COc1ccc(cc1)C1(CC2CC1CC2)N1CCCC1	arylcycloalkylamine
Cc1cccc(c1)C1(CC2CC1CC2)N1CCCC1	arylcycloalkylamine
C1CCN(C1)C1(CC2CC1CC2)c1ccc2c(c1)OCO2	arylcycloalkylamine
CCNC1(CC2CC1CC2)c1ccccc1	arylcycloalkylamine
CCCNC1(CC2CC1CC2)c1ccccc1	arylcycloalkylamine
CCNC1(CC2CC1CC2)c1cccc(c1)OC	arylcycloalkylamine
CCCNC1(CC2CC1CC2)c1cccc(c1)OC	arylcycloalkylamine
CCNC1(CC2CC1CC2)c1cccc(c1)C	arylcycloalkylamine
CCCNC1(CC2CC1CC2)c1cccc(c1)C	arylcycloalkylamine
C1CCN(C1)C1(CC2CC1CC2)c1cccs1	arylcycloalkylamine
S=C1CN=C(c2c(N1)ccc(c2)Cl)c1ccccc1	aryldiazepine
O=C1CCCCC1(N)c1ccccc1Cl	arylcycloalkylamine
FCCCCCn1nc(c2c1cccc2)C(=O)NC1C2CC3CC1CC(C2)C3	cannabinoid
ClCCCCCn1nc(c2c1cccc2)C(=O)NC1C2CC3CC1CC(C2)C3	cannabinoid
CCCn1c(C)c(c2c1cccc2)C(=O)c1ccc(c2c1cccc2)CC	cannabinoid
CCCCCn1cc(c2c1cccc2)C(=O)Cc1ccc(cc1)Cl	cannabinoid
CCCCCn1c(C)c(c2c1cccc2)C(=O)Cc1ccc(cc1)Cl	cannabinoid
CCCCCn1cc(c2c1cccc2)C(=O)Cc1ccc(cc1)C	cannabinoid
CCCCCn1c(C)c(c2c1cccc2)C(=O)Cc1ccc(cc1)C	cannabinoid
CCCCCn1cc(c2c1cccc2)C(=O)Cc1cccc(c1)Cl	cannabinoid
CCCCCn1c(C)c(c2c1cccc2)C(=O)Cc1cccc(c1)OC	cannabinoid
CCCCCn1cc(c2c1cccc2)C(=O)Cc1ccccc1F	cannabinoid
CCCCCn1cc(c2c1cccc2)C(=O)Cc1cccc(c1)F	cannabinoid
CCCCCn1c(C)c(c2c1cccc2)C(=O)Cc1ccc(cc1)F	cannabinoid
CCCCCn1c(C)c(c2c1cccc2)C(=O)Cc1ccccc1Br	cannabinoid
CCCCCn1c(C)c(c2c1cccc2)C(=O)Cc1ccccc1OC	cannabinoid
OC(=O)CCCCn1cc(c2c1cccc2)C(=O)c1cccc2c1cccc2	cannabinoid
N#CC1(CCCc2c1cccc2)N1CCCCC1	arylcycloalkylamine
CCN(CCc1c[nH]c2c1cccc2)CCC(=O)N(CC)CC	tryptamine
CCN(C(=O)CCN(CCc1c[nH]c2c1cccc2)C)CC	tryptamine
CCCCCc1cc(O)c(c(c1)OC)C/C=C(/CCC=C(C)C)\C	cannabinoid
Brc1ccc(cc1)[C@@]1(CC[C@@](CC1)(O)CCc1cccs1)N(C)C	arylcycloalkylamine
Fc1ccc(cc1)N(C(=O)C(C)C)C1CCN(CC1)CCc1cccc(c1)C	fentanyl
ClCCCCCn1nc(c2c1cccc2)C(=O)N[C@@H](C(C)(C)C)C(=O)OC	cannabinoid
FCCCCCn1cc(c2c1cccn2)C(=O)N[C@@H](C(C)(C)C)C(=O)OC	cannabinoid
CN1CCCCC(C1)n1cc(c2c1cccc2)C(=O)c1ccccc1I	cannabinoid
O=C1C=CCCC1(N)c1ccccc1Cl	arylcycloalkylamine
OC1CCC(C(=O)C1)(N)c1ccccc1Cl	arylcycloalkylamine
OC1CCC(=O)C(C1)(N)c1ccccc1Cl	arylcycloalkylamine
CNC1(CCCC(C1=O)O)c1ccccc1Cl	arylcycloalkylamine
CNC1(CCCCCC1=O)c1ccccc1Cl	arylcycloalkylamine
CCCNC1(CCCCC1=O)c1ccccc1	arylcycloalkylamine
CCNC1(CCCCC1=O)c1cccc(c1)F	arylcycloalkylamine
CNC1C2CCC(C1c1c[nH]c3c1cccc3)C2	tryptamine
CN(C1C2CCC(C1c1c[nH]c3c1cccc3)C2)C	tryptamine
COc1ccc2c(c1)c(c[nH]2)C1C2CCC(C1N(C)C)C2	tryptamine
CC(NC1C2CCC(C1c1c[nH]c3c1cccc3)C2)C	tryptamine
COc1ccc2c(c1)c(c[nH]2)C1C2CCC(C1NC(C)C)C2	tryptamine
CN(C1C2CCC(C1c1c[nH]c3c1cccc3)C2)C(C)C	tryptamine
COc1ccc2c(c1)c(c[nH]2)C1C2CCC(C1N(C(C)C)C)C2	tryptamine
CCCN(C1C2CCC(C1c1c[nH]c3c1cccc3)C2)CCC	tryptamine
O=C1CC2CCC1C(C2c1c[nH]c2c1cccc2)N1CCCCC1	tryptamine
